train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
2.1180403232574463,0,49,,,,
1.853907823562622,0,99,,,,
1.6491070985794067,0,149,,,,
,0,156,1.5132842063903809,0.4302999973297119,,
1.8031470775604248,1,199,,,,
1.5540438890457153,1,249,,,,
1.5861958265304565,1,299,,,,
,1,313,1.533412218093872,0.45419999957084656,,
1.3199111223220825,2,349,,,,
1.1925723552703857,2,399,,,,
1.3430389165878296,2,449,,,,
,2,470,1.4120076894760132,0.5432000160217285,,
1.0867787599563599,3,499,,,,
1.0364643335342407,3,549,,,,
1.2112292051315308,3,599,,,,
,3,627,1.0438143014907837,0.6478999853134155,,
0.8999751210212708,4,649,,,,
0.8313806056976318,4,699,,,,
0.883770227432251,4,749,,,,
,4,784,0.8624301552772522,0.7049000263214111,,
0.7738693356513977,5,799,,,,
0.8102972507476807,5,849,,,,
0.8159112334251404,5,899,,,,
,5,941,0.6813663840293884,0.7627000212669373,,
0.6960794925689697,6,949,,,,
0.6556137800216675,6,999,,,,
0.7654021382331848,6,1049,,,,
,6,1098,0.6980388164520264,0.7627000212669373,,
0.6537953019142151,7,1099,,,,
0.660811722278595,7,1149,,,,
0.5872073173522949,7,1199,,,,
0.7269008755683899,7,1249,,,,
,7,1255,0.6632981896400452,0.7695000171661377,,
0.5267784595489502,8,1299,,,,
0.5327297449111938,8,1349,,,,
0.4859924912452698,8,1399,,,,
,8,1412,0.5390041470527649,0.8138999938964844,,
0.5175880193710327,9,1449,,,,
0.5486621260643005,9,1499,,,,
0.5562254786491394,9,1549,,,,
,9,1569,0.553981602191925,0.8133999705314636,,
0.49944350123405457,10,1599,,,,
0.4442964792251587,10,1649,,,,
0.41210639476776123,10,1699,,,,
,10,1726,0.5663660168647766,0.8087000250816345,,
0.4128943085670471,11,1749,,,,
0.45700734853744507,11,1799,,,,
0.47109222412109375,11,1849,,,,
,11,1883,0.5187013149261475,0.8258000016212463,,
0.4182393252849579,12,1899,,,,
0.4240843951702118,12,1949,,,,
0.3948225975036621,12,1999,,,,
,12,2040,0.4692966938018799,0.8381999731063843,,
0.40545955300331116,13,2049,,,,
0.39321357011795044,13,2099,,,,
0.4224645793437958,13,2149,,,,
,13,2197,0.42613485455513,0.8515999913215637,,
0.34976112842559814,14,2199,,,,
0.3339991271495819,14,2249,,,,
0.32833945751190186,14,2299,,,,
0.3245466649532318,14,2349,,,,
,14,2354,0.4631853997707367,0.8457000255584717,,
0.3107612133026123,15,2399,,,,
0.4014805853366852,15,2449,,,,
0.3812045753002167,15,2499,,,,
,15,2511,0.45736420154571533,0.848800003528595,,
0.3296493589878082,16,2549,,,,
0.28088873624801636,16,2599,,,,
0.3600007891654968,16,2649,,,,
,16,2668,0.36749958992004395,0.8769000172615051,,
0.36582091450691223,17,2699,,,,
0.3204747140407562,17,2749,,,,
0.30764514207839966,17,2799,,,,
,17,2825,0.43490973114967346,0.8508999943733215,,
0.36261630058288574,18,2849,,,,
0.2915126383304596,18,2899,,,,
0.3722054958343506,18,2949,,,,
,18,2982,0.3608793616294861,0.878600001335144,,
0.25161245465278625,19,2999,,,,
0.3025963604450226,19,3049,,,,
0.255210280418396,19,3099,,,,
,19,3139,0.32526591420173645,0.8902999758720398,,
0.3049090802669525,20,3149,,,,
0.21923094987869263,20,3199,,,,
0.23307952284812927,20,3249,,,,
,20,3296,0.335818886756897,0.8844000101089478,,
0.26851406693458557,21,3299,,,,
0.29728424549102783,21,3349,,,,
0.2448161095380783,21,3399,,,,
0.2748524248600006,21,3449,,,,
,21,3453,0.3232977092266083,0.8892999887466431,,
0.23549114167690277,22,3499,,,,
0.1773703694343567,22,3549,,,,
0.21491535007953644,22,3599,,,,
,22,3610,0.3412773907184601,0.8884000182151794,,
0.19704188406467438,23,3649,,,,
0.17526693642139435,23,3699,,,,
0.26797011494636536,23,3749,,,,
,23,3767,0.335727721452713,0.8873999714851379,,
0.23012471199035645,24,3799,,,,
0.20458826422691345,24,3849,,,,
0.13842512667179108,24,3899,,,,
,24,3924,0.2758699357509613,0.9089999794960022,,
0.18134112656116486,25,3949,,,,
0.153328076004982,25,3999,,,,
0.1710309088230133,25,4049,,,,
,25,4081,0.26452454924583435,0.9157999753952026,,
0.18006113171577454,26,4099,,,,
0.13407647609710693,26,4149,,,,
0.1690889149904251,26,4199,,,,
,26,4238,0.2451508492231369,0.9218000173568726,,
0.13877664506435394,27,4249,,,,
0.147414892911911,27,4299,,,,
0.13549569249153137,27,4349,,,,
,27,4395,0.2438880354166031,0.917900025844574,,
0.12800471484661102,28,4399,,,,
0.07060539722442627,28,4449,,,,
0.14514663815498352,28,4499,,,,
0.08017104864120483,28,4549,,,,
,28,4552,0.23103369772434235,0.9264000058174133,,
0.06490274518728256,29,4599,,,,
0.0709681287407875,29,4649,,,,
0.09006310254335403,29,4699,,,,
,29,4709,0.2182614952325821,0.9282000064849854,,
,30,4710,,,0.23688015341758728,0.9221000075340271
